SequenceLength,PITName,PurificationName,ProcessStep,Duration_In_Mins
23,0,0,0,368
23,0,0,1,17
44,0,0,0,368
44,0,0,1,17
32,0,0,0,368
32,0,0,1,17
24,0,0,0,368
24,0,0,1,17
31,0,0,0,368
31,0,0,1,17
45,0,0,0,368
45,0,0,1,17
29,0,0,0,368
29,0,0,1,17
25,0,0,0,368
25,0,0,1,17
26,0,0,0,368
26,0,0,1,17
28,0,0,0,368
28,0,0,1,17
34,0,0,0,368
34,0,0,1,17
43,1,0,1,8
43,1,0,2,11
43,1,0,0,285
39,1,0,1,8
39,1,0,2,11
39,1,0,0,285
47,1,0,1,8
47,1,0,2,11
47,1,0,0,285
34,1,0,1,8
34,1,0,2,11
34,1,0,0,285
48,1,0,1,8
48,1,0,2,11
48,1,0,0,285
28,1,0,1,8
28,1,0,2,11
28,1,0,0,285
40,1,0,1,8
40,1,0,2,11
40,1,0,0,285
45,1,0,1,8
45,1,0,2,11
45,1,0,0,285
20,0,0,1,8
20,0,0,2,11
20,0,0,0,285
47,0,0,1,8
47,0,0,2,11
47,0,0,0,285
46,0,0,1,8
46,0,0,2,11
46,0,0,0,285
25,0,0,1,8
25,0,0,2,11
25,0,0,0,285
45,0,0,1,8
45,0,0,2,11
45,0,0,0,285
37,0,0,1,8
37,0,0,2,11
37,0,0,0,285
44,0,0,1,8
44,0,0,2,11
44,0,0,0,285
40,0,0,1,8
40,0,0,2,11
40,0,0,0,285
51,0,0,1,8
51,0,0,2,11
51,0,0,0,285
48,0,0,1,8
48,0,0,2,11
48,0,0,0,285
33,1,0,1,8
33,1,0,2,11
33,1,0,0,285
36,1,0,1,8
36,1,0,2,11
36,1,0,0,285
44,1,0,1,8
44,1,0,2,11
44,1,0,0,285
37,1,0,1,8
37,1,0,2,11
37,1,0,0,285
38,1,0,1,8
38,1,0,2,11
38,1,0,0,285
35,1,0,1,8
35,1,0,2,11
35,1,0,0,285
22,0,0,0,371
22,0,0,1,8
46,0,0,0,371
47,0,0,0,371
29,0,0,0,371
29,0,0,1,8
43,0,0,0,371
43,0,0,1,8
44,0,0,0,371
48,0,0,0,371
51,0,0,0,371
45,0,0,0,371
42,1,0,0,371
42,1,0,1,7
45,1,0,0,371
45,1,0,1,7
37,1,0,0,371
37,1,0,1,7
40,1,0,0,371
40,1,0,1,7
38,1,0,0,371
38,1,0,1,7
36,1,0,0,371
36,1,0,1,7
44,1,0,0,371
44,1,0,1,7
39,1,0,0,371
39,1,0,1,7
47,1,0,0,371
47,1,0,1,7
34,1,0,0,371
34,1,0,1,7
28,0,0,0,371
28,0,0,1,8
37,0,0,0,371
25,0,0,0,371
33,0,0,0,371
33,0,0,1,8
32,0,0,0,371
32,0,0,1,8
40,0,0,0,371
34,0,0,0,371
34,0,0,1,8
36,0,0,0,371
36,0,0,1,8
41,0,0,0,371
41,0,0,1,8
31,0,0,0,371
31,0,0,1,8
39,0,0,0,371
39,0,0,1,8
32,1,0,0,371
32,1,0,1,7
33,1,0,0,371
33,1,0,1,7
28,1,0,0,371
28,1,0,1,7
24,1,0,0,371
24,1,0,1,7
30,1,0,0,371
30,1,0,1,7
31,1,0,0,371
31,1,0,1,7
20,0,0,0,371
35,0,0,0,371
35,0,0,1,8
18,0,0,0,371
18,0,0,1,8
38,0,0,0,371
38,0,0,1,8
41,1,0,0,371
41,1,0,1,8
43,1,0,0,371
42,1,0,1,8
35,1,0,0,371
30,1,0,1,8
48,1,0,0,371
18,1,0,0,371
18,1,0,1,8
31,1,0,1,8
14,1,0,0,371
14,1,0,1,8
29,1,0,0,371
29,1,0,1,8
27,1,0,0,371
27,1,0,1,8
32,1,0,1,8
42,0,0,0,371
42,0,0,1,8
45,0,0,1,7
23,0,0,0,371
23,0,0,1,8
40,0,0,1,7
57,1,0,0,371
57,1,0,1,8
55,1,0,0,371
55,1,0,1,8
46,1,0,0,371
46,1,0,1,8
49,1,0,0,371
49,1,0,1,8
40,2,0,0,332
40,2,0,1,7
43,2,0,0,332
43,2,0,1,7
32,2,0,0,332
32,2,0,1,7
36,2,0,0,332
36,2,0,1,7
37,2,0,0,332
37,2,0,1,7
34,2,0,0,332
34,2,0,1,7
39,2,0,0,332
39,2,0,1,7
33,2,0,0,332
33,2,0,1,7
35,2,0,0,332
35,2,0,1,7
31,2,0,0,332
31,2,0,1,7
41,2,0,0,332
41,2,0,1,7
48,2,0,0,332
48,2,0,1,7
42,2,0,0,332
42,2,0,1,7
50,2,0,0,332
50,2,0,1,7
38,2,0,0,332
38,2,0,1,7
51,2,0,0,332
51,2,0,1,10
28,2,0,0,332
28,2,0,1,10
39,2,0,1,10
38,2,0,1,10
37,2,0,1,10
35,2,0,1,10
42,2,0,1,10
33,2,0,1,10
36,2,0,1,10
32,2,0,1,10
31,2,0,1,10
29,2,0,0,332
29,2,0,1,10
45,2,0,0,332
45,2,0,1,10
40,2,0,1,10
30,2,0,0,332
30,2,0,1,10
44,2,0,0,332
44,2,0,1,10
34,2,0,1,10
43,2,0,1,10
25,2,0,0,332
25,2,0,1,10
27,2,0,0,332
27,2,0,1,10
30,2,0,1,7
29,2,0,1,7
28,2,0,1,7
33,2,0,1,6
31,2,0,1,6
36,2,0,1,6
38,2,0,1,6
26,2,0,0,332
26,2,0,1,6
39,2,0,1,6
43,2,0,1,6
42,2,0,1,6
32,2,0,1,6
48,2,0,1,6
40,2,0,1,6
46,2,0,0,332
46,2,0,1,6
35,2,0,1,6
29,2,0,1,6
30,2,0,1,6
37,2,0,1,6
41,2,0,1,6
45,2,0,1,6
28,2,0,1,6
44,2,0,1,6
34,2,0,1,6
36,2,0,1,8
28,2,0,1,8
38,2,0,1,8
34,2,0,1,8
29,2,0,1,8
45,2,0,1,8
39,2,0,1,8
37,2,0,1,8
43,2,0,1,8
31,2,0,1,8
44,2,0,1,8
30,2,0,1,8
41,2,0,1,8
32,2,0,1,8
35,2,0,1,8
42,2,0,1,8
40,2,0,1,8
33,2,0,1,8
47,2,0,0,332
47,2,0,1,8
23,0,0,1,7
42,0,0,1,7
21,0,0,0,371
21,0,0,1,7
36,0,0,1,7
31,0,0,1,7
47,0,0,1,7
32,0,0,1,7
33,0,0,1,7
29,0,0,1,7
34,0,0,1,7
38,0,0,1,7
64,1,0,0,461
64,1,0,1,6
64,1,0,2,26
57,1,0,0,461
57,1,0,1,6
57,1,0,2,26
56,1,0,0,461
56,1,0,1,6
56,1,0,2,26
58,1,0,0,461
58,1,0,1,6
58,1,0,2,26
59,1,0,0,461
59,1,0,1,6
59,1,0,2,26
55,1,0,0,461
55,1,0,1,6
55,1,0,2,26
54,1,0,0,461
54,1,0,1,6
54,1,0,2,26
52,1,0,0,461
52,1,0,1,6
52,1,0,2,26
45,1,0,0,461
45,1,0,1,6
45,1,0,2,26
53,1,0,0,461
53,1,0,1,6
53,1,0,2,26
21,0,0,0,354
21,0,0,1,8
29,0,0,0,354
34,0,0,0,354
30,0,0,0,354
30,0,0,1,8
28,0,0,0,354
46,0,0,0,354
35,0,0,0,354
32,0,0,0,354
17,0,0,0,354
17,0,0,1,8
31,0,0,0,354
25,0,0,0,354
33,0,0,0,354
37,0,0,0,354
26,0,0,0,354
26,0,0,1,8
42,0,0,0,354
39,1,0,0,354
38,1,0,0,354
46,1,0,0,354
36,1,0,0,354
41,1,0,0,354
